1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,2,16
17,2,17
18,2,18
19,2,19
20,2,20
21,2,21
22,2,22
23,2,23
24,2,24
25,2,25
26,2,26
27,2,27
28,2,28
29,2,29
30,2,30
31,3,1
32,3,3
33,3,5
34,3,7
35,3,9
36,3,11
37,3,13
38,3,15
39,3,17
40,3,19
41,3,21
42,3,23
43,3,25
44,3,27
45,3,29
46,4,2
47,4,4
48,4,6
49,4,8
50,4,10
51,4,12
52,4,14
53,4,16
54,4,18
55,4,20
56,4,22
57,4,24
58,4,26
59,4,28
60,4,30
61,5,1
62,5,5
63,5,9
64,5,13
65,5,17
66,5,21
67,5,25
68,5,29
69,5,3
70,5,7
71,5,11
72,5,15
73,5,19
74,5,23
75,5,27
76,6,2
77,6,6
78,6,10
79,6,14
80,6,18
81,6,22
82,6,26
83,6,30
84,6,4
85,6,8
86,6,12
87,6,16
88,6,20
89,6,24
90,6,28
91,7,3
92,7,7
93,7,11
94,7,15
95,7,19
96,7,23
97,7,27
98,7,1
99,7,5
100,7,9
101,7,13
102,7,17
103,7,21
104,7,25
105,7,29
106,8,4
107,8,8
108,8,12
109,8,16
110,8,20
111,8,24
112,8,28
113,8,2
114,8,6
115,8,10
116,8,14
117,8,18
118,8,22
119,8,26
120,8,30
121,9,1
122,9,8
123,9,15
124,9,22
125,9,29
126,9,6
127,9,13
128,9,20
129,9,27
130,9,4
131,9,11
132,9,18
133,9,25
134,9,2
135,9,9
136,10,2
137,10,9
138,10,16
139,10,23
140,10,30
141,10,7
142,10,14
143,10,21
144,10,28
145,10,5
146,10,12
147,10,19
148,10,26
149,10,3
150,10,10
151,11,3
152,11,10
153,11,17
154,11,24
155,11,1
156,11,8
157,11,15
158,11,22
159,11,29
160,11,6
161,11,13
162,11,20
163,11,27
164,11,4
165,11,11
166,12,4
167,12,11
168,12,18
169,12,25
170,12,2
171,12,9
172,12,16
173,12,23
174,12,30
175,12,7
176,12,14
177,12,21
178,12,28
179,12,5
180,12,12
181,13,5
182,13,12
183,13,19
184,13,26
185,13,3
186,13,10
187,13,17
188,13,24
189,13,1
190,13,8
191,13,15
192,13,22
193,13,29
194,13,6
195,13,13
196,14,6
197,14,13
198,14,20
199,14,27
200,14,4
201,14,11
202,14,18
203,14,25
204,14,2
205,14,9
206,14,16
207,14,23
208,14,30
209,14,7
210,14,14
211,15,7
212,15,14
213,15,21
214,15,28
215,15,5
216,15,12
217,15,19
218,15,26
219,15,3
220,15,10
221,15,17
222,15,24
223,15,1
224,15,8
225,15,15
