1,1,1,4
2,1,2,3
3,1,3,4
4,1,4,4
5,1,5,4
6,1,6,5
7,1,7,4
8,1,8,4
9,1,9,4
10,1,10,4
11,1,11,3
12,1,12,4
13,1,13,4
14,1,14,4
15,1,15,5
16,1,16,4
17,1,17,4
18,1,18,4
19,2,1,4
20,2,2,4
21,2,3,3
22,2,4,4
23,2,5,4
24,2,6,4
25,2,7,5
26,2,8,4
27,2,9,4
28,2,10,4
29,2,11,4
30,2,12,3
31,2,13,4
32,2,14,4
33,2,15,4
34,2,16,5
35,2,17,4
36,2,18,4
37,3,1,4
38,3,2,4
39,3,3,4
40,3,4,4
41,3,5,5
42,3,6,4
43,3,7,4
44,3,8,4
45,3,9,3
46,3,10,4
47,3,11,4
48,3,12,4
49,3,13,5
50,3,14,4
51,3,15,4
52,3,16,4
53,3,17,3
54,3,18,4
55,4,1,4
56,4,2,4
57,4,3,4
58,4,4,4
59,4,5,3
60,4,6,4
61,4,7,5
62,4,8,4
63,4,9,4
64,4,10,5
65,4,11,4
66,4,12,4
67,4,13,4
68,4,14,3
69,4,15,4
70,4,16,4
71,4,17,4
72,4,18,4
73,5,1,4
74,5,2,4
75,5,3,4
76,5,4,5
77,5,5,4
78,5,6,4
79,5,7,3
80,5,8,4
81,5,9,4
82,5,10,4
83,5,11,5
84,5,12,4
85,5,13,4
86,5,14,4
87,5,15,3
88,5,16,4
89,5,17,4
90,5,18,4
